id,entity_type,full_name,bvn,nin,business_reg_no,address,metadata_json,created_at
b0517035-3c8f-40ff-ac2a-c0e485ccb43b,person,Temitope Onyeka,45721353098,85022992697,,"81 Ajayi Close, Asaba, Delta, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-10-16T15:51:44+00:00
bbb05ade-a489-4e7f-b6c3-944dadbc51e9,person,Oluwaseun Ibrahim,37831029741,15510107339,,"172 Adebisi Road, Nsukka, Enugu, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2024-11-23T15:51:44+00:00
2786f9ca-614d-491f-9535-65c1d6abe73e,person,Fatima Onyeka,21302858179,84293903785,,"108 Akinsanya Street, Surulere, Lagos, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-05-29T15:51:44+00:00
634a4acc-18b9-4e30-ae88-c66916c0e504,person,Kehinde Yakubu,78387190914,78755583753,,"158 Salami Road, Onitsha, Anambra, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-06-15T15:51:44+00:00
165a32d0-2f59-4e70-97ac-9de094e3d5af,person,Sadiq Ajayi,06063686907,75671204611,,"145 Afolabi Avenue, Ughelli, Delta, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-12-20T15:51:44+00:00
c520adba-c70c-44ef-94d6-a5b6aaba5136,person,Oluwaseun Eze,98287572840,35917925331,,"45 Nwankwo Avenue, Zaria, Kaduna, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-05-18T15:51:44+00:00
4d01c2c9-f097-4378-997d-a1a6f523a844,person,Blessing Danjuma,56652776164,63823548096,,"168 Ojo Road, Emene, Enugu, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""medium""}",2025-09-14T15:51:44+00:00
8c3e64c8-f07d-4774-9870-68039cc6d77c,person,Bisi Nwachukwu,35987807058,11039123826,,"198 Ibrahim Street, Dala, Kano, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-06-04T15:51:44+00:00
4225627d-e6d4-4b39-a883-ea78eabbf4e3,person,Halima Yakubu,49895904699,34901685044,,"200 Bello Avenue, Sabo, Kaduna, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-04-18T15:51:44+00:00
53cf1e18-8364-4d39-bdd0-02fdaa325a6f,person,Bukola Adetola,26888097975,57619343310,,"66 Salami Avenue, Barnawa, Kaduna, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2026-02-26T15:51:44+00:00
7855d705-5cc1-4350-87f9-fee8c6ba66b1,person,Yusuf Akinsanya,73158397388,79464804523,,"11 Adetola Street, Jabi, Abuja, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2024-07-01T15:51:44+00:00
99812422-ac00-4f66-9050-d761e5a9a14c,person,Temitope Eze,86679297814,23502504710,,"78 Abdullahi Avenue, Gwale, Kano, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-03-07T15:51:44+00:00
60f1b6e1-4e0b-45a5-b393-80b75c2c789b,person,Yusuf Ibrahim,70449271004,34305199252,,"35 Onyeka Road, Yaba, Lagos, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-08-22T15:51:44+00:00
d2e4baf2-4857-4fe2-a85a-0419a3b6e507,person,Adebayo Salami,61263633530,02930093566,,"57 Nwankwo Close, Ibadan North, Oyo, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2024-05-03T15:51:44+00:00
8c33a074-a369-4262-9158-3152b65ab27d,person,Musa Afolabi,13681317055,27175620418,,"34 Afolabi Street, Kafanchan, Kaduna, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2026-01-08T15:51:44+00:00
d864fc28-e3d9-412a-816e-3964fe9cfc51,person,Temitope Mohammed,69232562085,36200136254,,"47 Ogunleye Crescent, Bonny, Rivers, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""medium""}",2025-08-04T15:51:44+00:00
cebd27da-c7fd-4c7f-81da-c1f5f86cd129,person,Ayomide Onyeka,93151716160,77233980146,,"31 Akinsanya Close, Dala, Kano, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2024-08-14T15:51:44+00:00
a9f88de9-5116-45a0-8033-205d34370aa6,person,Blessing Bello,82863533212,70317904829,,"122 Eze Crescent, Onitsha, Anambra, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2025-06-04T15:51:44+00:00
28ddc612-0518-4484-a86e-087142a6129a,person,Ebere Ibrahim,90692236291,91784207273,,"48 Yakubu Avenue, Bodija, Oyo, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2024-10-22T15:51:44+00:00
932362cd-b8b3-490d-bc21-e56a303775c2,person,Nkechi Danjuma,53698799546,81066928229,,"151 Balogun Street, Okrika, Rivers, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2025-02-12T15:51:44+00:00
de1d4e55-6c90-44a0-9819-56df0b50a2b1,person,Sadiq Abdullahi,08599162591,32662046229,,"97 Umeh Avenue, Saki, Oyo, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2024-12-24T15:51:44+00:00
c35d0860-5b61-4713-a801-375f9063e210,person,Uche Adetola,16343724999,60990209510,,"219 Eze Crescent, Ihiala, Anambra, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2025-01-06T15:51:44+00:00
3ae265fd-9fa7-44f1-9161-896b7510682e,person,Oluwaseun Adebisi,83826321999,21838906600,,"164 Balogun Close, Abeokuta, Ogun, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-03-18T15:51:44+00:00
ee9b25a2-0e20-4c15-8c94-ec53bce297ae,person,Kehinde Afolabi,91681988882,12441846386,,"96 Balogun Crescent, Ikeja, Lagos, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-02-23T15:51:44+00:00
528c108a-4ca9-4cfc-9259-bcd4310d5d63,person,Bisi Akinsanya,93735554325,56805285575,,"142 Onyeka Close, Gwale, Kano, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-02-16T15:51:44+00:00
ab6fd45a-18ff-424b-b655-1ca779168baf,person,Fatima Adebisi,40836193846,00913569062,,"89 Lawal Close, Emene, Enugu, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-07-25T15:51:44+00:00
9185a92d-7b63-4bbe-8354-f6c8881b52ab,person,Farouk Eze,82447131175,90228605561,,"182 Eze Avenue, Port Harcourt, Rivers, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""medium""}",2026-04-07T15:51:44+00:00
116637aa-e971-4aee-a5e2-fc03594fe6e9,person,Nkechi Lawal,26218169507,56584452706,,"116 Ajayi Close, Ughelli, Delta, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2025-12-28T15:51:44+00:00
00a8192c-2be6-4d5e-85c0-f8676fb62b2b,person,Ngozi Ajayi,71946047871,92165481477,,"119 Yakubu Street, GRA, Enugu, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2025-07-17T15:51:44+00:00
b2d29007-33ee-483f-919f-f0a79d7d7147,person,Ifeoma Eze,09064084310,24153073892,,"183 Umeh Close, Obio-Akpor, Rivers, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-03-26T15:51:44+00:00
f990a9bd-4f75-48c6-b9b6-83675a2c5e61,person,Ifeoma Ajayi,68030599465,69374503777,,"111 Akinsanya Street, Tarauni, Kano, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2026-02-08T15:51:44+00:00
ae9f6fee-1461-4a1e-b7b4-eab02c313e0d,person,Blessing Akinsanya,07692959187,29777619443,,"157 Abdullahi Street, Asaba, Delta, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2026-01-11T15:51:44+00:00
99d64bae-c848-48db-be0a-2cb5b57c928e,person,Farouk Abdullahi,87547716839,51333338098,,"171 Ogunleye Crescent, Ughelli, Delta, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2024-11-17T15:51:44+00:00
e798edf1-01f2-4a60-ab73-ffd4c5cf08cb,person,Uche Ogunleye,15703864274,78818093026,,"181 Umeh Avenue, Agbor, Delta, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2024-05-07T15:51:44+00:00
f07ae5de-256a-4552-846f-34a4a92aacd7,person,Bukola Nwachukwu,99820732757,41207720002,,"192 Adetola Crescent, Kafanchan, Kaduna, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-06-16T15:51:44+00:00
3ddc7bc9-bdf7-4fb2-b41b-e69654bc5941,person,Oluwaseun Yakubu,59572945421,78410419420,,"72 Adebisi Close, Ijebu Ode, Ogun, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-05-17T15:51:44+00:00
c2d57261-7feb-4cf7-af8e-3a379b2f7ddd,person,Ebuka Bello,82188069102,16218432437,,"139 Salami Close, Bonny, Rivers, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2024-06-07T15:51:44+00:00
89aa8e36-32d4-4ef8-a241-9895a75b1279,person,Ngozi Bello,35271471000,79493422004,,"82 Bello Road, Bodija, Oyo, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2024-09-02T15:51:44+00:00
6fd94482-7f08-4296-a3d4-b191614701dd,person,Amina Danjuma,28531014993,29169216259,,"176 Lawal Crescent, Wuse, Abuja, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-09-20T15:51:44+00:00
b0e76ca8-c5c2-4e20-a76d-c875e2047378,person,Chinedu Ogunleye,30409167056,64510535143,,"104 Salami Road, Ughelli, Delta, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-07-26T15:51:44+00:00
1712dd6d-6b19-4009-81c3-ec43a39c3632,person,Blessing Mohammed,75920004686,74664535060,,"99 Nwachukwu Street, Abakpa, Enugu, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2024-10-18T15:51:44+00:00
dae29223-4cf0-4824-9230-be0c40bac5e3,person,Fatima Ibrahim,80804023446,95053451783,,"181 Akinsanya Crescent, Sapele, Delta, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-12-14T15:51:44+00:00
b8a1b8a4-a146-42fc-a8d4-eaf7c3a8853c,person,Fatima Nwachukwu,43167117703,71876380549,,"53 Adetola Crescent, Independence Layout, Enugu, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-06-27T15:51:44+00:00
f145bf5b-5770-4790-8885-41c5689455f2,person,Ebere Abdullahi,18547069944,67346645093,,"47 Danjuma Crescent, Lekki, Lagos, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2024-06-14T15:51:44+00:00
f889f504-1bd0-4213-85a5-80310c288e55,person,Amina Okafor,20654045461,80650576650,,"139 Ojo Street, Asaba, Delta, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2026-03-30T15:51:44+00:00
e4996b0a-0b6c-4a03-94c0-8daf1f73c908,person,Kehinde Akinsanya,24445905353,30214928995,,"21 Onyeka Road, Emene, Enugu, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2024-07-31T15:51:44+00:00
1713a99e-00e0-4706-b506-cb0ba3eb7bc6,person,Bisi Yakubu,24926574269,18804490587,,"81 Salami Crescent, Maitama, Abuja, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2026-01-04T15:51:44+00:00
0a0f4024-6350-401c-92d0-73f56cb3d3a7,person,Halima Adebisi,06400928946,87989329090,,"97 Yakubu Street, Ajah, Lagos, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2025-06-26T15:51:44+00:00
3a97f30f-7d71-4052-afe1-be72aa462eea,person,Adebayo Yakubu,24898017340,06671804318,,"101 Lawal Road, Warri, Delta, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""medium""}",2026-02-26T15:51:44+00:00
4c1d4ec9-b87b-4839-b850-6202a0072c02,person,Chinedu Abdullahi,69920164670,40527241897,,"17 Ajayi Avenue, Gwale, Kano, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2026-03-13T15:51:44+00:00
1830b8a5-0933-4b23-b1cd-925762fcc933,person,Amina Adetola,80333591021,51062130750,,"49 Danjuma Road, Ihiala, Anambra, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2024-10-05T15:51:44+00:00
ebd90ede-0593-4292-8ff9-c3b0218e9a5c,person,Fatima Yakubu,87730587206,62976034382,,"150 Ogunleye Crescent, Yaba, Lagos, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""medium""}",2025-12-16T15:51:44+00:00
72524a4f-a114-4002-8612-df1c75e86d39,person,Nkechi Onyeka,93353515106,98548507807,,"44 Onyeka Street, Ibadan North, Oyo, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2025-09-20T15:51:44+00:00
6d12cb6c-e4f0-4b5a-be64-4795f8c35963,person,Bisi Okafor,79297868099,69141155452,,"44 Yakubu Close, Kafanchan, Kaduna, Nigeria","{""occupation"": ""Civil Servant"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2025-02-15T15:51:44+00:00
35f4ef7a-cc38-40c9-a563-84c6a241687d,person,Ifeoma Eze,39894225665,07191477344,,"77 Nwachukwu Road, Dala, Kano, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""low""}",2025-06-25T15:51:44+00:00
c9c9ae4d-a8a5-4a53-9aa1-856c9c9709f4,person,Halima Umeh,80706611118,16903507596,,"94 Bello Close, Nassarawa, Kano, Nigeria","{""occupation"": ""Accountant"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-06-20T15:51:44+00:00
3389f6c8-0971-4c2d-bc4c-025e7d0462f0,person,Uche Umeh,41255341147,19743150493,,"52 Balogun Close, Bodija, Oyo, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2024-09-17T15:51:44+00:00
5cb2188d-83f5-4af2-a791-d0fbfdbd958f,person,Sadiq Adetola,39228179262,37547178199,,"104 Ogunleye Close, Wuse, Abuja, Nigeria","{""occupation"": ""Doctor"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2025-11-21T15:51:44+00:00
621c1d55-9627-4bf3-a0a2-d021eb41dfc7,person,Adebayo Akinsanya,22496833469,01109700335,,"14 Adebisi Road, Surulere, Lagos, Nigeria","{""occupation"": ""Engineer"", ""kyc_tier"": ""tier_3"", ""risk_profile"": ""low""}",2025-04-16T15:51:44+00:00
f5c3e840-4522-42d9-9cd9-341f17ffa1cc,person,Ifeoma Adebisi,84033380145,50893640447,,"53 Umeh Close, Nassarawa, Kano, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_1"", ""risk_profile"": ""low""}",2024-09-10T15:51:44+00:00
5a131ba7-4160-4099-9f05-572786142c4f,person,Adebayo Ojo,14831718724,98275766614,,"142 Bello Road, Ogbomoso, Oyo, Nigeria","{""occupation"": ""Entrepreneur"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""medium""}",2025-01-30T15:51:44+00:00
6ca16815-83b3-4fae-bd42-91bd2d496c7b,person,Fatima Adetola,86763913208,17673694479,,"70 Lawal Road, Sango, Ogun, Nigeria","{""occupation"": ""Trader"", ""kyc_tier"": ""tier_2"", ""risk_profile"": ""medium""}",2024-10-12T15:51:44+00:00
